,Count
meek and,2
and amiable,1
petya promised,1
return very,1
soon but,1
still early,1
hunt went,1
went farther,2
farther at,1
midday they,1
hounds into,1
a ravine,2
ravine thickly,1
thickly overgrown,2
overgrown with,3
young trees,1
trees nicholas,1
nicholas standing,1
a fallow,1
fallow field,2
his whips,1
whips facing,1
facing him,1
him lay,1
rye there,1
there his,2
own huntsman,1
huntsman stood,2
hollow behind,1
a hazel,1
hazel bush,1
bush the,1
scarcely been,1
been loosed,1
loosed before,1
nicholas heard,3
knew voltorn,1
voltorn giving,1
tongue at,1
intervals other,1
other hounds,1
hounds joined,1
now pausing,1
pausing and,1
again giving,1
tongue a,1
wooded ravine,1
ravine that,1
fox had,1
pack joining,1
joining together,1
together rushed,1
ravine toward,1
the ryefield,3
ryefield and,1
and away,1
the whips,3
whips in,1
red caps,1
caps galloping,1
ravine he,1
even saw,1
fox to,1
show itself,1
itself at,2
ryefield opposite,1
huntsman standing,1
hollow moved,1
and loosed,1
loosed his,1
borzois and,5
queer short,1
short legged,1
legged red,1
red fox,1
fox with,1
fine brush,1
brush going,1
going hard,1
hard across,1
borzois bore,1
bore down,1
they drew,3
fox which,1
which began,1
to dodge,1
dodge between,1
in sharper,1
sharper and,1
and sharper,1
sharper curves,1
curves trailing,1
trailing its,1
its brush,1
brush when,1
strange white,1
white borzoi,1
borzoi dashed,1
dashed in,2
in followed,1
confusion the,3
borzois formed,1
shaped figure,1
figure scarcely,1
scarcely swaying,1
swaying their,1
with tails,1
tails turned,1
group two,1
two huntsmen,1
huntsmen galloped,1
dogs one,1
red cap,1
a green,7
green coat,1
coat what,1
that huntsman,1
huntsman from,1
from he,3
not uncle,1
huntsmen got,1
got the,10
fox but,1
but stayed,2
stayed there,1
without strapping,1
strapping it,1
saddle their,1
horses bridled,1
bridled and,1
with high,1
high saddles,1
saddles stood,1
too the,8
dogs were,1
lying the,1
huntsmen waved,1
did something,2
fox then,1
then from,3
spot came,1
a horn,2
horn with,1
signal agreed,1
agreed on,1
in case,7
fight that,1
s ilagin,2
ilagin s,7
huntsman having,1
row with,1
our ivan,1
ivan said,1
nicholas groom,1
groom nicholas,1
nicholas sent,2
call natasha,1
petya to,9
footpace to,2
whips were,1
hounds together,1
together several,1
field galloped,1
on nicholas,1
nicholas dismounted,1
up stopped,1
hounds waiting,1
matter would,3
would end,1
end out,1
bushes came,1
huntsman who,2
been fighting,1
fighting and,6
fox tied,1
his crupper,1
crupper while,1
distance he,2
speak respectfully,1
respectfully but,2
and breathless,2
breathless and,1
angry one,1
was black,2
black but,1
he probably,2
happened asked,2
nicholas a,4
a likely,1
likely thing,1
thing killing,1
killing a,2
fox our,1
our dogs,1
dogs had,2
had hunted,1
hunted and,2
my gray,1
gray bitch,1
bitch that,2
that caught,1
to law,2
law indeed,1
indeed he,3
he snatches,2
snatches at,2
fox i,1
fox here,1
my saddle,1
saddle do,1
taste of,3
huntsman pointing,1
his dagger,1
dagger and,2
probably imagining,1
still speaking,2
his foe,3
foe nicholas,1
not stopping,2
man asked,1
the victorious,1
victorious huntsman,1
huntsman rode,1
field and,6
there surrounded,1
by inquiring,1
inquiring sympathizers,1
sympathizers recounted,1
recounted his,1
his exploits,2
exploits the,1
facts were,1
were that,2
that ilagin,1
ilagin with,2
a quarrel,5
quarrel and,1
at law,1
law hunted,1
hunted over,1
over places,1
places that,1
that belonged,2
by custom,1
custom to,1
if purposely,1
purposely sent,1
very woods,1
woods the,2
rostovs were,6
were hunting,1
his man,1
man snatch,1
snatch a,1
fox their,1
their dogs,2
had chased,1
chased nicholas,1
nicholas though,2
seen ilagin,1
usual absence,1
of moderation,1
moderation in,1
in judgment,1
judgment hated,1
hated him,1
him cordially,2
cordially from,1
from reports,2
his arbitrariness,1
arbitrariness and,1
and violence,2
violence and,1
his bitterest,1
bitterest foe,1
foe he,1
angry agitation,1
agitation toward,1
firmly grasping,1
whip and,4
and fully,1
fully prepared,1
most resolute,1
and desperate,2
desperate steps,1
enemy hardly,1
passed an,1
an angle,1
angle of,1
stout gentleman,1
gentleman in,8
a beaver,1
beaver cap,3
cap came,1
came riding,2
riding toward,2
handsome raven,1
raven black,1
horse accompanied,2
two hunt,1
hunt servants,3
servants instead,1
enemy nicholas,1
in ilagin,1
ilagin a,1
stately and,1
courteous gentleman,1
particularly anxious,1
acquaintance having,1
nicholas ilagin,1
ilagin raised,1
his beaver,3
he much,1
much regretted,2
regretted what,1
occurred and,4
man punished,1
punished who,1
had allowed,4
seize a,1
fox hunted,1
hunted by,1
borzois he,1
become better,1
and invited,3
draw his,2
his covert,1
covert natasha,1
natasha afraid,1
some excitement,2
excitement seeing,1
the enemies,2
enemies exchanging,1
exchanging friendly,1
friendly greetings,1
greetings she,1
she rode,1
them ilagin,1
ilagin lifted,1
cap still,1
higher to,3
countess resembled,1
resembled diana,1
diana in,1
her passion,1
chase as,1
heard much,2
s offense,1
offense ilagin,1
ilagin pressed,1
rostovs to,3
an upland,1
upland of,1
his about,1
away which,1
usually kept,1
kept for,1
said swarmed,1
with hares,1
hares nicholas,1
nicholas agreed,1
agreed and,1
hunt now,1
now doubled,1
doubled moved,1
to iligin,1
iligin s,1
s upland,1
upland was,1
was across,1
servants fell,1
into line,3
the masters,6
masters rode,1
rode together,1
together uncle,1
uncle rostov,1
and ilagin,3
ilagin kept,1
kept stealthily,1
stealthily glancing,1
s dogs,2
be observed,1
observed by,2
their companions,1
companions and,2
and searching,2
searching uneasily,1
uneasily for,1
for rivals,1
rivals to,1
own borzois,2
borzois rostov,1
particularly struck,3
small pure,1
pure bred,1
bred red,1
red spotted,4
spotted bitch,3
bitch on,1
on ilagin,1
s leash,1
leash slender,1
with muscles,1
muscles like,1
like steel,1
steel a,1
delicate muzzle,1
muzzle and,1
and prominent,1
the swiftness,1
swiftness of,1
of ilagin,1
that beautiful,1
beautiful bitch,1
bitch saw,1
rival to,1
own milka,1
milka in,1
a sober,1
sober conversation,1
conversation begun,1
begun by,3
by ilagin,1
ilagin about,1
s harvest,1
harvest nicholas,1
nicholas pointed,1
bitch a,1
fine little,1
little bitch,1
tone is,1
she swift,1
swift that,1
one yes,1
good dog,1
dog gets,1
gets what,1
s after,1
after answered,1
answered ilagin,1
ilagin indifferently,1
indifferently of,1
bitch erza,1
erza for,1
a neighbor,1
neighbor three,1
three families,1
families of,2
of house,1
house serfs,6
serfs so,1
your parts,1
parts too,1
the harvest,3
harvest is,1
to boast,1
boast of,1
on continuing,1
continuing the,2
it polite,1
s compliment,1
compliment ilagin,1
ilagin looked,1
out milka,1
milka who,1
who attracted,2
attracted his,2
attention by,2
her breadth,1
breadth that,1
that black,1
spotted one,1
well shaped,1
shaped said,1
s fast,1
enough replied,1
full grown,2
grown hare,1
hare would,1
field now,1
of borzoi,1
borzoi she,1
his groom,9
groom he,1
a ruble,5
ruble to,1
hare i,1
understand continued,1
continued ilagin,1
ilagin how,1
how some,3
some sportsmen,1
sportsmen can,1
jealous about,1
about game,1
game and,2
and dogs,2
dogs for,1
enjoy riding,1
in company,2
company such,1
this what,2
better he,1
for counting,1
counting skins,1
skins and,1
one takes,1
takes i,1
being upset,1
upset because,1
because someone,1
s borzoi,1
borzoi and,1
not mine,2
mine catches,1
catches something,1
something all,1
i care,3
about is,1
enjoy seeing,1
chase is,1
a tu,3
tu came,1
drawn cry,2
borzoi whippers,1
in who,1
halted he,1
a knoll,3
knoll in,2
stubble holding,1
whip aloft,1
aloft and,1
again repeated,2
tu this,1
call and,1
the uplifted,1
uplifted whip,1
whip meant,1
a sitting,1
sitting hare,1
hare ah,1
has found,2
said ilagin,2
ilagin carelessly,1
carelessly yes,1
must ride,3
ride up,2
up shall,1
we both,1
both course,1
nicholas seeing,1
in erza,1
erza and,3
s red,3
red rugay,2
rugay two,1
two rivals,1
rivals he,1
of pitting,1
pitting against,1
and suppose,1
they outdo,1
outdo my,1
my milka,1
milka at,1
ilagin toward,1
the hare,24
hare a,2
grown one,1
one asked,1
asked ilagin,1
ilagin as,1
the whip,5
whip who,2
had sighted,3
sighted the,3
without agitation,1
agitation he,3
and whistled,2
whistled to,1
to erza,1
michael nikanorovich,1
nikanorovich he,1
addressing uncle,1
uncle the,1
riding with,1
a sullen,1
sullen expression,1
i join,3
in why,1
village for,1
for each,2
your borzois,1
borzois that,3
on yours,1
yours are,1
are worth,2
worth thousands,1
thousands try,1
try yours,1
yours against,1
on rugay,2
rugay hey,1
hey hey,1
hey he,1
shouted rugayushka,1
rugayushka he,1
added involuntarily,1
involuntarily by,1
this diminutive,1
diminutive expressing,1
his affection,1
the hopes,3
hopes he,2
he placed,4
this red,2
red borzoi,2
borzoi natasha,1
the agitation,3
two elderly,1
elderly men,1
brother were,1
conceal and,2
herself excited,1
stood halfway,1
the knoll,26
knoll holding,1
the gentlefolk,2
gentlefolk rode,1
footpace the,1
horizon turned,1
whips but,1
gentlefolk also,1
also moved,1
away all,3
moving slowly,2
and sedately,1
sedately how,1
it pointing,1
pointing asked,1
nicholas riding,1
paces toward,1
hare but,3
whip could,1
could reply,1
hare scenting,1
scenting the,1
frost coming,1
coming next,1
and leaped,1
pack on,1
on leash,2
rushed downhill,1
cry after,2
leash darted,1
darted after,1
hare all,1
hunt who,1
been moving,1
slowly shouted,1
shouted stop,1
stop calling,1
calling in,1
hounds while,1
borzoi whips,1
whips with,1
tu galloped,1
galloped across,2
field setting,1
setting the,2
hare the,1
the tranquil,1
tranquil ilagin,1
ilagin nicholas,1
nicholas natasha,4
uncle flew,1
flew reckless,1
reckless of,1
of where,2
went seeing,1
seeing only,1
fearing only,1
lose sight,4
sight even,1
instant of,3
hare they,1
started was,1
and swift,2
swift one,1
one when,1
run at,1
but pricked,1
pricked his,1
ears listening,1
and trampling,2
trampling that,1
that resounded,1
resounded from,1
sides at,2
dozen bounds,1
bounds not,1
very quickly,3
quickly letting,1
borzois gain,1
gain on,1
finally having,1
having chosen,1
chosen his,1
direction and,2
realized his,1
his danger,1
danger laid,1
rushed off,1
off headlong,1
headlong he,1
been lying,4
lying in,9
stubble but,1
autumn sowing,1
sowing where,1
ground was,4
was soft,1
soft the,1
two borzois,1
borzois of,1
sighted him,1
nearest were,1
gone far,1
far before,1
before ilagin,1
spotted erza,1
erza passed,1
them got,1
got within,1
a length,1
length flew,1
hare with,2
with terrible,2
terrible swiftness,1
swiftness aiming,1
his scut,1
scut and,1
and thinking,4
thinking she,2
him rolled,1
over like,1
hare arched,1
bounded off,1
off yet,1
more swiftly,2
swiftly from,2
behind erza,1
erza rushed,1
rushed the,1
haunched black,1
spotted milka,1
milka and,1
rapidly gaining,1
gaining on,1
hare milashka,1
milashka dear,1
dear rose,1
rose nicholas,1
nicholas triumphant,1
triumphant cry,1
cry it,1
if milka,1
milka would,1
immediately pounce,1
pounce on,1
hare had,1
had squatted,1
squatted again,1
beautiful erza,1
erza reached,1
when close,1
hare s,3
s scut,1
scut paused,1
if measuring,2
distance so,1
mistake this,1
but seize,1
seize his,1
leg erza,1
erza darling,1
darling ilagin,1
ilagin wailed,1
wailed in,2
voice unlike,1
unlike his,1
own erza,1
erza did,1
not hearken,1
hearken to,1
his appeal,1
appeal at,1
have seized,1
seized her,7
her prey,1
prey the,1
hare moved,1
and darted,2
darted along,1
the balk,3
balk between,1
rye and,2
stubble again,1
again erza,1
and milka,1
milka were,1
were abreast,1
abreast running,1
running like,1
carriage horses,2
overtake the,3
was easier,1
hare to,1
balk and,1
borzois did,1
not overtake,1
overtake him,2
quickly rugay,1
rugay rugayushka,1
rugayushka that,1
on came,1
third voice,1
voice just,2
borzoi straining,1
straining and,1
and curving,1
curving its,1
its back,2
back caught,1
two foremost,1
foremost borzois,1
borzois pushed,1
pushed ahead,1
them regardless,1
terrible strain,1
strain put,1
speed close,1
hare knocked,1
knocked it,1
balk onto,1
ryefield again,1
speed still,1
more viciously,1
viciously sinking,1
muddy field,1
how muddying,1
muddying his,1
he rolled,1
borzois surrounded,1
later everyone,1
everyone had,6
had drawn,9
up round,2
dogs only,1
the delighted,1
delighted uncle,1
uncle dismounted,2
and cut,5
a pad,2
pad shaking,1
hare for,1
to drip,1
drip off,1
with restless,1
legs twitched,1
twitched he,1
spoke without,1
without himself,2
himself knowing,2
dog there,1
beaten them,2
ruble as,1
one ruble,1
ruble borzois,1
he panting,1
looking wrathfully,1
wrathfully around,2
around as,5
were abusing,1
abusing someone,1
someone as,1
enemies and,6
had insulted,1
insulted him,1
last succeeded,2
in justifying,1
your thousand,1
ruble ones,1
rugay here,1
pad for,1
said throwing,2
s muddy,1
muddy pad,1
pad you,1
ve deserved,1
on she,4
d tired,1
tired herself,1
herself out,3
d run,1
down three,1
by herself,6
herself said,1
nicholas also,2
also not,1
heard or,2
in running,3
running across,2
groom once,1
away any,1
any mongrel,1
mongrel could,1
it ilagin,1
ilagin was,1
saying at,2
time breathless,1
breathless from,1
his gallop,1
gallop and,6
excitement at,2
breath screamed,1
screamed joyously,1
joyously ecstatically,1
so piercingly,1
piercingly that,1
it set,2
set everyone,1
ear tingling,1
tingling by,1
that shriek,1
shriek she,1
she expressed,2
expressed what,2
others expressed,1
all talking,1
talking at,1
must herself,1
herself have,1
been ashamed,1
so wild,1
wild a,1
else would,1
been amazed,1
time uncle,1
uncle himself,1
himself twisted,1
twisted up,1
hare threw,1
neatly and,1
smartly across,1
gesture he,2
rebuke everybody,1
anyone mounted,1
his bay,2
bay and,1
followed dispirited,1
dispirited and,1
shamefaced and,3
only much,2
much later,4
later were,1
they able,1
to regain,2
regain their,1
indifference for,1
at red,1
rugay who,1
who his,1
his arched,1
arched back,1
back spattered,1
spattered with,1
and clanking,1
clanking the,1
his leash,1
leash walked,1
walked along,4
along just,1
behind uncle,1
the serene,1
serene air,1
a conqueror,1
conqueror well,1
am like,1
like any,2
other dog,1
dog as,1
of coursing,1
coursing but,1
is then,3
then look,1
appearance seemed,1
saying when,2
when much,1
later uncle,1
uncle rode,1
flattered that,2
happened uncle,1
uncle deigned,1
vii toward,1
evening ilagin,1
ilagin took,1
accepted uncle,1
offer that,1
the hunting,4
party should,1
should spend,1
little village,2
of mikhaylovna,1
better still,2
uncle you,1
s damp,1
damp weather,1
could rest,1
driven home,2
trap uncle,1
offer was,2
accepted a,2
otradnoe for,1
trap while,1
house some,2
five male,1
male domestic,1
serfs big,1
big and,1
little rushed,1
front porch,4
porch to,2
meet their,2
women serfs,1
serfs old,1
as children,4
children popped,1
popped out,1
back entrance,4
hunters who,1
arriving the,1
woman a,3
horseback raised,1
a degree,2
degree that,2
that many,1
them came,3
her stared,1
stared her,1
and unabashed,1
unabashed by,1
her presence,11
presence made,4
made remarks,1
some prodigy,1
prodigy on,1
on show,1
show and,1
human being,3
her arinka,1
arinka look,1
she sits,2
sits sideways,1
sideways there,1
sits and,1
skirt dangles,1
dangles see,1
s got,2
little hunting,1
horn goodness,1
gracious see,1
her knife,1
knife isn,1
tartar how,1
go head,1
over heels,1
heels asked,1
the boldest,1
boldest of,1
all addressing,1
addressing natasha,4
natasha directly,1
directly uncle,1
dismounted at,1
little wooden,1
wooden house,1
an overgrown,1
overgrown garden,2
his retainers,1
retainers shouted,1
shouted authoritatively,1
authoritatively that,1
the superfluous,3
superfluous ones,1
ones should,1
take themselves,1
themselves off,1
all necessary,2
necessary preparations,1
preparations should,1
serfs all,1
all dispersed,1
dispersed uncle,1
uncle lifted,1
lifted natasha,1
natasha off,1
her horse,1
led her,2
the rickety,1
rickety wooden,1
wooden steps,1
its bare,1
bare unplastered,1
unplastered log,1
log walls,2
walls was,1
not overclean,2
overclean it,1
seem that,5
those living,2
it aimed,1
at keeping,1
it spotless,1
spotless but,1
neither was,1
it noticeably,1
noticeably neglected,1
neglected in,1
entry there,1
fresh apples,1
apples and,1
and wolf,1
and fox,1
fox skins,1
skins hung,1
hung about,1
about uncle,1
uncle led,1
visitors through,1
anteroom into,1
small hall,1
a folding,2
folding table,1
red chairs,1
then into,2
round birchwood,1
birchwood table,1
finally into,1
a tattered,3
tattered sofa,1
sofa a,1
worn carpet,1
and portraits,1
portraits of,2
suvorov of,1
host s,2
military uniform,2
study smelt,1
tobacco and,1
dogs uncle,1
uncle asked,1
make themselves,1
room rugay,1
rugay his,1
back still,1
still muddy,1
muddy came,1
sofa cleaning,1
cleaning himself,1
tongue and,4
teeth leading,1
a partition,3
partition with,1
with ragged,1
ragged curtains,1
curtains could,1
behind this,1
this came,2
came women,1
s laughter,3
whispers natasha,1
petya took,3
their wraps,1
wraps and,1
sofa petya,1
petya leaning,1
elbow fell,1
once natasha,1
nicholas were,1
silent their,1
faces glowed,1
glowed they,1
were hungry,1
very cheerful,2
cheerful they,1
hunt was,1
house nicholas,2
longer considered,1
his manly,1
manly superiority,1
sister natasha,2
natasha gave,4
neither refrained,1
refrained long,1
long from,1
from bursting,1
a peal,2
peal of,2
of ringing,1
laughter even,1
even before,4
pretext ready,1
to account,2
account for,4
it after,2
while uncle,1
uncle came,1
coat blue,1
blue trousers,2
trousers and,3
small top,1
top boots,1
this costume,1
costume the,1
very one,2
and amusement,1
amusement at,1
otradnoe was,2
all worse,3
tail or,1
or frock,1
frock coat,1
coat uncle,1
uncle too,1
too was,7
being offended,1
laughter it,1
never enter,1
be laughing,2
himself joined,2
the merriment,1
merriment that,1
right young,1
countess that,2
saw anyone,1
anyone like,1
he offering,1
offering nicholas,1
pipe with,1
long stem,1
stem and,1
a practiced,1
practiced motion,1
fingers taking,1
taking down,1
down another,2
been cut,2
cut short,1
short she,2
s ridden,1
ridden all,1
day like,1
ever soon,1
after uncle,1
s reappearance,1
reappearance the,1
opened evidently,1
evidently from,1
sound by,1
a barefooted,1
barefooted girl,1
stout rosy,1
rosy good,1
double chin,1
full red,2
lips entered,1
entered carrying,1
large loaded,1
loaded tray,1
tray with,1
with hospitable,1
hospitable dignity,1
and cordiality,1
cordiality in,1
every motion,1
motion she,1
smile bowed,1
bowed respectfully,2
respectfully in,1
her exceptional,1
exceptional stoutness,1
stoutness which,1
which caused,5
caused her,1
to protrude,1
protrude her,1
and stomach,2
and throw,2
throw back,1
s housekeeper,1
housekeeper trod,1
trod very,1
very lightly,1
lightly she,1
table set,1
the tray,2
tray and,1
her plump,3
hands deftly,1
deftly took,1
the bottles,1
bottles and,2
various hors,1
oeuvres and,1
and dishes,1
dishes and,2
table when,2
am she,1
now do,5
understand uncle,1
uncle her,1
expression said,1
one help,2
help understanding,1
understanding not,1
only nicholas,1
even natasha,1
his puckered,1
happy complacent,1
complacent smile,1
that slightly,1
slightly puckered,1
puckered his,4
when anisya,1
anisya fedorovna,12
fedorovna entered,1
entered on,3
tray was,1
of herb,1
herb wine,1
wine different,1
vodka pickled,1
pickled mushrooms,2
mushrooms rye,1
rye cakes,1
cakes made,1
made with,5
with buttermilk,1
buttermilk honey,1
honey in,1
the comb,1
comb still,1
still mead,1
mead and,1
sparkling mead,1
mead apples,1
apples nuts,1
nuts raw,1
raw and,2
and roasted,1
roasted and,1
and nut,2
nut and,1
and honey,2
honey sweets,1
sweets afterwards,1
afterwards she,1
brought a,5
a freshly,1
freshly roasted,1
roasted chicken,1
chicken ham,1
ham preserves,1
preserves made,2
with honey,3
honey and,4
and preserves,1
with sugar,1
sugar all,1
the fruit,3
of anisya,2
fedorovna s,3
s housekeeping,1
housekeeping gathered,1
gathered and,3
and prepared,3
and taste,1
a smack,1
smack of,1
fedorovna herself,1
a savor,1
savor of,1
of juiciness,1
juiciness cleanliness,1
cleanliness whiteness,1
smiles take,1
little lady,1
lady countess,1
offered natasha,1
natasha first,1
another natasha,1
natasha ate,1
ate of,1
seen or,3
or eaten,1
eaten such,1
such buttermilk,1
buttermilk cakes,1
cakes such,1
such aromatic,1
aromatic jam,1
jam such,1
such honey,1
nut sweets,1
sweets or,1
a chicken,1
chicken anywhere,1
anywhere anisya,1
fedorovna left,1
supper over,1
their cherry,1
cherry brandy,2
brandy rostov,1
uncle talked,1
of past,1
future hunts,1
hunts of,1
of rugay,1
rugay and,1
upright on,1
wake petya,1
petya that,2
might eat,1
only muttered,1
muttered incoherent,1
words without,3
without waking,1
these novel,1
novel surroundings,1
surroundings that,1
only feared,2
feared the,2
the trap,4
trap would,2
her too,7
a casual,1
casual pause,1
pause such,1
often occurs,2
occurs when,1
when receiving,1
receiving friends,1
friends for,1
house uncle,1
uncle answering,1
visitors minds,1
minds said,1
see is,1
am finishing,1
finishing my,1
days death,1
death will,1
nothing will,1
remain then,1
why harm,1
harm anyone,1
anyone uncle,2
very significant,1
even handsome,1
handsome as,1
involuntarily rostov,1
the neighbors,1
neighbors throughout,1
province uncle,1
uncle had,2
most honorable,1
and disinterested,1
disinterested of,1
of cranks,2
cranks they,1
decide family,1
family disputes,1
disputes chose,1
chose him,1
as executor,1
executor confided,1
confided secrets,1
him elected,1
elected him,1
a justice,1
justice and,4
other posts,1
posts but,1
always persistently,1
persistently refused,1
refused public,1
public appointments,1
appointments passing,1
and spring,1
spring in,1
fields on,2
bay gelding,1
gelding sitting,1
in winter,4
his overgrown,1
garden in,2
in summer,2
summer why,1
you enter,2
service uncle,1
did once,1
not fit,5
make head,1
or tail,1
t brains,1
brains enough,1
enough now,1
now hunting,1
hunting is,1
is another,4
on open,1
shouted why,1
you shut,1
shut it,1
passage led,1
huntsmen s,3
servants there,1
rapid patter,1
patter of,1
of bare,2
an unseen,2
unseen hand,2
clear sounds,1
a balalayka,1
balalayka on,1
evidently a,5
a master,5
art was,1
playing natasha,1
been listening,2
those strains,1
strains for,1
now went,2
passage to,5
hear better,2
better that,2
s mitka,1
mitka my,1
my coachman,2
coachman i,1
good balalayka,1
balalayka i,1
m fond,1
uncle it,1
the custom,1
custom for,1
for mitka,1
mitka to,1
the balalayka,4
balalayka in,1
when uncle,1
uncle returned,1
chase uncle,1
uncle was,1
such music,1
music how,1
good really,1
some unintentional,1
unintentional superciliousness,1
superciliousness as,1
sounds pleased,1
natasha reproachfully,1
reproachfully noticing,1
tone not,1
s simply,1
simply delicious,1
delicious just,1
as uncle,1
s pickled,1
mushrooms honey,1
brandy had,1
best in,3
world so,2
so also,4
song at,1
the acme,2
acme of,2
of musical,1
musical delight,1
delight more,1
balalayka ceased,1
ceased mitka,1
mitka tuned,1
tuned up,1
up afresh,1
and recommenced,1
recommenced thrumming,1
thrumming the,1
balalayka to,1
my lady,2
with trills,1
trills and,1
and variations,1
variations uncle,1
uncle sat,1
listening slightly,1
slightly smiling,1
repeated a,1
hundred times,3
balalayka was,1
was retuned,1
retuned several,1
same notes,1
were thrummed,1
thrummed again,1
the listeners,2
listeners did,1
not grow,3
grow weary,1
again anisya,2
fedorovna came,1
leaned her,1
her portly,1
portly person,1
person against,1
doorpost you,1
like listening,1
listening she,1
smile extremely,1
extremely like,1
like uncle,2
good player,1
player of,1
ours she,1
play that,1
part right,1
uncle suddenly,1
an energetic,3
energetic gesture,3
gesture here,1
on ought,1
out do,1
play then,1
natasha uncle,1
uncle did,1
smiled anisya,1
anisya go,1
the strings,5
strings of,1
my guitar,1
guitar are,1
t touched,1
up anisya,1
step willingly,1
willingly went,1
her errand,1
errand and,1
the guitar,6
guitar without,1
uncle blew,1
blew the,2
dust off,2
and tapping,2
his bony,2
fingers tuned,1
tuned the,1
guitar and,3
guitar a,1
little above,2
the fingerboard,1
fingerboard arching,1
left elbow,1
elbow with,3
a somewhat,3
somewhat theatrical,1
theatrical gesture,1
wink at,2
at anisya,1
fedorovna struck,1
struck a,6
single chord,1
chord pure,1
and sonorous,1
sonorous and,1
then quietly,1
quietly smoothly,1
smoothly and,2
confidently began,1
began playing,1
playing in,2
very slow,1
slow time,1
lady but,1
known song,1
song came,1
maiden down,1
street the,9
tune played,1
with precision,2
in exact,1
exact time,1
to thrill,1
thrill in,1
the hearts,5
hearts of,5
natasha arousing,1
arousing in,2
of sober,1
sober mirth,1
mirth as,1
as radiated,1
from anisya,1
being anisya,1
fedorovna flushed,1
kerchief over,1
went laughing,1
laughing out,1
room uncle,1
uncle continued,1
play correctly,1
correctly carefully,1
carefully with,2
with energetic,2
energetic firmness,1
firmness looking,1
and inspired,1
inspired expression,1
expression at,2
where anisya,1
fedorovna had,1
just stood,1
stood something,1
laughing a,1
little on,1
face under,1
gray mustaches,1
mustaches especially,1
song grew,1
grew brisker,1
brisker and,1
time quicker,1
quicker and,2
when here,1
fingers over,3
strings something,1
to snap,2
snap lovely,1
lovely lovely,1
lovely go,1
on uncle,2
uncle go,1
on shouted,1
and hugged,1
hugged and,1
nicholas nicholas,1
nicholas she,6
it moves,2
moves me,1
nicholas too,1
greatly pleased,1
pleased by,5
s playing,1
uncle played,2
the piece,2
piece over,1
over again,4
s smiling,1
face reappeared,1
reappeared in,1
doorway and,1
behind hers,1
hers other,1
faces fetching,1
fetching water,2
water clear,1
sweet stop,1
stop dear,1
dear maiden,1
maiden i,1
entreat played,1
played uncle,1
running his,2
fingers skillfully,1
skillfully over,1
strings and,1
shoulders go,1
uncle dear,1
dear natasha,3
natasha wailed,1
imploring tone,1
life depended,1
it uncle,1
uncle rose,1
them smiled,1
smiled seriously,1
seriously at,1
merry fellow,2
fellow while,1
fellow struck,1
and precise,1
precise attitude,1
attitude preparatory,1
preparatory to,1
a folk,1
folk dance,1
dance now,1
then niece,1
niece he,1
exclaimed waving,1
waving to,1
just struck,1
a chord,2
chord natasha,1
natasha threw,1
shoulders ran,1
face uncle,1
and setting,2
setting her,2
akimbo also,1
also made,1
a motion,3
motion with,1
struck an,1
an attitude,3
attitude where,1
where how,2
had this,2
countess educated,1
educated by,1
an emigree,1
emigree french,1
french governess,1
governess imbibed,1
imbibed from,1
russian air,1
she breathed,1
breathed that,1
that spirit,1
and obtained,1
obtained that,1
that manner,1
chale would,1
would one,1
have supposed,2
supposed long,1
have effaced,1
effaced but,1
those inimitable,1
inimitable and,1
and unteachable,1
unteachable russian,1
russian ones,1
that uncle,1
her pose,1
smiled triumphantly,1
triumphantly proudly,1
proudly and,1
sly merriment,1
merriment the,2
first seized,1
seized nicholas,1
already admiring,1
french shawl,1
shawl dance,1
such precision,1
precision such,1
such complete,1
complete precision,1
precision that,1
that anisya,1
fedorovna who,1
once handed,1
she needed,5
had tears,1
eyes though,2
she watched,4
watched this,2
this slim,1
slim graceful,1
graceful countess,1
countess reared,1
reared in,1
in silks,1
silks and,1
and velvets,1
velvets and,1
herself who,3
yet was,4
in anisya,2
anisya and,1
anisya s,1
and aunt,1
every russian,10
russian man,1
woman well,1
cried uncle,1
uncle with,1
joyous laugh,1
laugh having,1
done niece,1
niece now,1
found as,1
as husband,1
husband for,1
chosen already,2
nicholas smiling,2
smiling oh,1
uncle in,1
surprise looking,3
who nodded,1
nodded her,2
new train,1
and feelings,5
feelings arose,1
did nicholas,2
nicholas smile,1
smile mean,1
mean when,2
said chosen,1
already is,1
thought my,1
my bolkonski,1
of or,3
understand our,2
our gaiety,1
gaiety but,1
serious but,3
second don,1
t dare,1
again smilingly,2
smilingly beside,1
beside uncle,1
uncle begging,1
play something,2
more uncle,1
played another,1
another song,1
a valse,2
valse then,1
he cleared,1
sang his,1
favorite hunting,1
hunting song,1
song as,2
as twas,3
twas growing,3
dark last,3
night fell,1
fell the,2
snow so,1
so soft,1
light uncle,1
uncle sang,1
as peasants,1
peasants sing,1
sing with,1
full and,2
and naive,2
naive conviction,2
whole meaning,5
song lies,1
tune comes,1
of itself,9
that apart,1
words there,1
no tune,1
tune which,1
which exists,1
exists only,3
give measure,1
measure to,1
the unconsidered,1
unconsidered tune,1
tune like,1
bird was,1
was extraordinarily,1
extraordinarily good,1
good natasha,1
in ecstasies,1
ecstasies over,1
over uncle,1
s singing,3
up learning,1
learning the,1
harp and,1
play only,1
guitar she,1
asked uncle,1
uncle for,1
his guitar,1
the chords,1
chords of,2
song after,1
two traps,2
traps and,1
