,Count
wanted to,107
to find,90
find and,3
and still,47
still seeks,1
seeks some,1
some secret,3
secret motive,1
motive in,2
our actions,2
actions what,2
what answer,3
answer did,1
did novosiltsev,1
novosiltsev get,1
get none,2
none the,3
english have,1
have not,53
not understood,8
understood and,10
the self,8
self abnegation,2
abnegation of,1
of our,100
our emperor,5
emperor who,6
who wants,2
wants nothing,1
nothing for,15
for himself,31
himself but,31
but only,50
only desires,1
desires the,2
the good,24
good of,11
of mankind,12
mankind and,3
what have,35
have they,12
they promised,1
promised nothing,2
nothing and,26
what little,1
little they,2
have promised,3
promised they,1
they will,22
not perform,1
perform prussia,1
prussia has,1
has always,2
always declared,1
declared that,9
buonaparte is,3
is invincible,1
invincible and,1
and that,477
that all,74
all europe,4
europe is,2
is powerless,3
powerless before,1
before him,83
him and,535
t believe,12
believe a,1
a word,71
word that,5
that hardenburg,1
hardenburg says,1
says or,1
or haugwitz,1
haugwitz either,1
either this,2
this famous,1
famous prussian,1
prussian neutrality,1
neutrality is,1
is just,17
just a,9
a trap,4
trap i,1
faith only,1
only in,32
in god,11
god and,22
the lofty,9
lofty destiny,1
destiny of,3
our adored,2
adored monarch,3
monarch he,2
will save,2
europe she,1
she suddenly,14
suddenly paused,1
paused smiling,2
smiling at,10
her own,90
own impetuosity,1
impetuosity i,1
i think,67
think said,2
prince with,5
a smile,115
smile that,26
that if,76
you had,17
been sent,31
sent instead,1
instead of,76
our dear,10
dear wintzingerode,1
wintzingerode you,1
you would,26
have captured,2
captured the,3
the king,27
king of,24
of prussia,14
prussia s,1
s consent,4
consent by,1
by assault,1
assault you,1
are so,16
so eloquent,1
eloquent will,1
will you,29
you give,7
give me,26
me a,33
a cup,3
cup of,5
of tea,3
tea in,4
a moment,124
moment a,6
a propos,2
propos she,1
she added,44
added becoming,1
becoming calm,1
calm again,1
again i,10
i am,452
am expecting,2
expecting two,1
two very,2
very interesting,9
interesting men,1
men tonight,1
tonight le,1
le vicomte,2
vicomte de,1
de mortemart,1
mortemart who,1
who is,47
is connected,2
connected with,16
the montmorencys,1
montmorencys through,1
through the,204
the rohans,1
rohans one,1
one of,381
the best,75
best french,1
french families,1
families he,1
is one,24
the genuine,2
genuine emigres,1
emigres the,1
good ones,1
ones and,4
and also,24
also the,2
the abbe,15
abbe morio,3
morio do,1
know that,77
that profound,1
profound thinker,1
thinker he,1
he has,125
been received,10
received by,5
emperor had,17
had you,2
you heard,10
heard i,4
be delighted,5
delighted to,4
to meet,74
meet them,6
them said,14
prince but,5
but tell,4
me he,48
he added,120
added with,13
with studied,1
studied carelessness,1
carelessness as,1
as if,483
if it,75
it had,114
had only,32
only just,17
just occurred,2
occurred to,36
to him,742
him though,10
though the,43
the question,91
question he,11
he was,956
was about,64
about to,68
to ask,77
ask was,1
the chief,74
chief motive,1
motive of,1
of his,803
his visit,8
visit is,1
is it,171
it true,13
true that,22
that the,691
the dowager,6
dowager empress,6
empress wants,1
wants baron,1
baron funke,3
funke to,1
be appointed,6
appointed first,1
first secretary,1
secretary at,1
at vienna,4
vienna the,1
the baron,3
baron by,1
by all,24
all accounts,1
accounts is,1
is a,169
poor creature,1
creature prince,1
vasili wished,1
wished to,157
to obtain,16
obtain this,2
this post,1
post for,1
for his,122
his son,98
son but,5
but others,2
others were,15
were trying,9
trying through,1
fedorovna to,1
to secure,9
secure it,1
it for,38
for the,629
baron anna,1
pavlovna almost,1
almost closed,1
closed her,4
her eyes,112
eyes to,12
to indicate,7
indicate that,5
that neither,10
neither she,3
she nor,3
nor anyone,1
anyone else,19
else had,4
a right,12
right to,45
to criticize,2
criticize what,1
what the,69
empress desired,1
desired or,1
or was,10
was pleased,11
pleased with,12
with baron,1
funke has,1
been recommended,2
recommended to,4
to the,2318
empress by,1
by her,45
her sister,18
sister was,2
was all,51
all she,19
said in,56
a dry,2
dry and,4
and mournful,1
mournful tone,1
tone as,8
she named,1
named the,2
empress anna,1
pavlovna s,39
s face,135
face suddenly,9
suddenly assumed,1
assumed an,6
an expression,34
expression of,109
of profound,6
profound and,2
and sincere,2
sincere devotion,1
devotion and,4
and respect,5
respect mingled,1
mingled with,11
with sadness,2
sadness and,5
and this,77
this occurred,2
occurred every,1
every time,18
time she,12
she mentioned,2
mentioned her,2
her illustrious,1
illustrious patroness,1
patroness she,1
added that,5
that her,54
her majesty,5
majesty had,1
had deigned,1
deigned to,4
to show,61
show baron,1
funke beaucoup,1
beaucoup d,1
d estime,1
estime and,1
and again,117
again her,3
her face,124
face clouded,2
clouded over,1
over with,9
sadness the,1
prince was,21
was silent,30
silent and,25
and looked,82
looked indifferent,1
indifferent but,1
but with,48
the womanly,1
womanly and,1
and courtierlike,1
courtierlike quickness,1
quickness and,1
and tact,1
tact habitual,1
habitual to,7
her anna,3
pavlovna wished,1
wished both,1
both to,3
to rebuke,2
rebuke him,1
him for,62
for daring,1
daring to,6
to speak,115
speak as,2
as he,450
had done,67
done of,2
man recommended,1
empress and,2
the same,620
same time,65
time to,111
to console,6
console him,2
him so,28
so she,17
said now,4
now about,1
about your,15
your family,5
family do,1
that since,5
since your,1
your daughter,3
daughter came,1
came out,60
out everyone,1
everyone has,5
been enraptured,1
enraptured by,4
her they,7
they say,54
say she,7
is amazingly,1
amazingly beautiful,1
beautiful the,3
prince bowed,2
bowed to,9
to signify,2
signify his,2
his respect,1
respect and,6
and gratitude,2
gratitude i,1
i often,5
often think,5
think she,7
she continued,8
continued after,3
after a,86
a short,45
short pause,6
pause drawing,1
drawing nearer,6
nearer to,34
and smiling,20
smiling amiably,1
amiably at,2
at him,190
him as,97
if to,42
show that,19
that political,1
political and,6
and social,5
social topics,1
topics were,2
were ended,1
ended and,2
the time,102
time had,12
had come,126
come for,9
for intimate,1
intimate conversation,1
conversation i,1
think how,3
how unfairly,1
unfairly sometimes,1
sometimes the,9
the joys,4
joys of,3
of life,152
life are,3
are distributed,1
distributed why,1
why has,3
has fate,1
fate given,1
given you,2
you two,6
two such,3
such splendid,1
splendid children,1
children i,2
speak of,46
of anatole,3
anatole your,1
your youngest,1
youngest i,1
t like,21
like him,20
him she,53
added in,12
a tone,21
tone admitting,1
admitting of,1
of no,8
no rejoinder,3
rejoinder and,1
and raising,8
raising her,7
her eyebrows,1
eyebrows two,1
such charming,1
charming children,1
children and,19
and really,14
really you,2
you appreciate,1
appreciate them,1
them less,2
less than,25
than anyone,13
anyone and,11
and so,242
so you,50
t deserve,1
deserve to,1
to have,164
have them,5
them and,113
and she,155
she smiled,12
smiled her,1
her ecstatic,1
ecstatic smile,1
smile i,20
i can,133
can t,196
t help,11
help it,6
it said,42
